operation,database,entity,total_time,avg_time,record_count
insert,mongolatest,users,1.2119,1.2e-05,100000
insert,mongolatest,products,1.9132,1.9e-05,100000
insert,mongolatest,orders,1.7848,1.8e-05,100000
insert,mongolatest,reviews,2.1437,2.1e-05,100000
read,mongolatest,users,0.8382,0.000838,1000
read,mongolatest,products,3.1305,0.00313,1000
read,mongolatest,products_by_id,0.8127,0.000813,1000
read,mongolatest,orders,0.8375,0.000838,1000
read,mongolatest,reviews,0.7934,0.000793,1000
update,mongolatest,users,0.851,0.000851,1000
update,mongolatest,products,2.6833,0.002683,1000
update,mongolatest,products_by_id,0.8482,0.000848,1000
update,mongolatest,orders,0.8075,0.000807,1000
update,mongolatest,reviews,0.8752,0.000875,1000
complex,mongolatest,popular_products,0.453,0.453042,1
complex,mongolatest,avg_product_rating,0.2508,0.250759,1
complex,mongolatest,customer_spending,0.3521,0.352147,1
complex,mongolatest,product_search,0.0368,0.036815,1
complex,mongolatest,sales_dashboard,0.1199,0.119886,1
complex,mongolatest,product_recommendations,0.7821,0.782111,1
complex,mongolatest,join_with_comments,8.0199,8.019921,1
delete,mongolatest,users,0.4346,0.000869,500
delete,mongolatest,products,1.675,0.00335,500
delete,mongolatest,products_by_id,0.3945,0.000789,500
delete,mongolatest,orders,0.4072,0.000814,500
delete,mongolatest,reviews,0.438,0.000876,500
